"time","NZL Wind Direction (Degs)","NZL Wind Speed (M/Sec)","NZL Lat","NZL Long","NZL time_time","NZL time diff","NZL_Lat_difference","NZL_Long_difference","NZL_Distance.to.next","NZL_Speed","Wind Direction (Degs) (#1)","Wind Speed (M/Sec) (#1)","USA Lat","USA Long","USA time_time (#1)","USA time diff","USA_Lat_difference","USA_Long_difference","USA_Distance.to.next","USA_Speed","Distance_NZL_USA"
"13:57:30",265.9,16.0,37.8119103,-122.453792,"13:57:30",1.0,1.2699999999199463E-5,7.480000000725795E-5,5.7563300010654555E-9,5.7563300010654555E-9,265.9,16.0,37.8228547,-122.4562292,"13:57:30",1.0,1.4000000000180535E-5,-1.810000000546097E-5,5.236100002027421E-10,5.236100002027421E-10,0.011212485683377097
"13:57:31",265.6,16.0,37.811923,-122.4537172,"13:57:31",1.0,9.699999999668307E-6,7.519999999772153E-5,5.7491299996508834E-9,5.7491299996508834E-9,265.7,16.0,37.8228687,-122.4562473,"13:57:31",1.0,1.5699999998730618E-5,-1.679999999737447E-5,5.287299998719236E-10,5.287299998719236E-10,0.01123431148313149
"13:57:32",265.4,16.0,37.8119327,-122.453642,"13:57:32",1.0,9.800000000836917E-6,7.440000000258351E-5,5.6314000004008304E-9,5.6314000004008304E-9,265.5,16.0,37.8228844,-122.4562641,"13:57:32",1.0,1.670000000331129E-5,-1.629999999863685E-5,5.445800000661583E-10,5.445800000661583E-10,0.011261222904284156
"13:57:33",265.2,16.0,37.8119425,-122.4535676,"13:57:33",1.0,1.0500000001911758E-5,7.390000000384589E-5,5.57146000060857E-9,5.57146000060857E-9,265.2,16.0,37.8229011,-122.4562804,"13:57:33",1.0,1.659999999503725E-5,-1.9199999996999395E-5,6.441999997200135E-10,6.441999997200135E-10,0.01128938429676456
"13:57:34",265.0,16.1,37.811953,-122.4534937,"13:57:34",1.0,1.1199999995881171E-5,7.370000000150867E-5,5.557130000130116E-9,5.557130000130116E-9,265.0,16.1,37.8229177,-122.4562996,"13:57:34",1.0,1.6000000002236447E-5,-1.8000000011397788E-5,5.800000004818867E-10,5.800000004818867E-10,0.011318026369464237
"13:57:35",264.8,16.1,37.8119642,-122.45342,"13:57:35",1.0,8.900000004530284E-6,7.499999999538431E-5,5.704209999388286E-9,5.704209999388286E-9,264.8,16.1,37.8229337,-122.4563176,"13:57:35",1.0,1.54999999963934E-5,-2.2599999994099562E-5,7.510099996214956E-10,7.510099996214956E-10,0.01134574880781792
"13:57:36",264.6,16.2,37.8119731,-122.453345,"13:57:36",1.0,1.1599999993450183E-5,7.700000000454565E-5,6.063560000548075E-9,6.063560000548075E-9,264.6,16.2,37.8229492,-122.4563402,"13:57:36",1.0,1.5500000003498826E-5,-2.089999999554948E-5,6.770599999224319E-10,6.770599999224319E-10,0.011377433552865178
"13:57:37",264.4,16.3,37.8119847,-122.453268,"13:57:37",1.0,1.790000000312375E-5,7.629999998925996E-5,6.1420999984729E-9,6.1420999984729E-9,264.4,16.3,37.8229647,-122.4563611,"13:57:37",1.0,1.679999999737447E-5,-1.970000000994787E-5,6.703300003037284E-10,6.703300003037284E-10,0.011407351472190366
"13:57:38",264.3,16.4,37.8120026,-122.4531917,"13:57:38",1.0,2.5899999997136547E-5,7.19000000088954E-5,5.840420001130832E-9,5.840420001130832E-9,264.3,16.4,37.8229815,-122.4563808,"13:57:38",1.0,1.759999999961792E-5,-2.119999999194988E-5,7.591999996452258E-10,7.591999996452258E-10,0.011432698894834614
"13:57:39",264.1,16.5,37.8120285,-122.4531198,"13:57:39",1.0,3.61000000026479E-5,6.770000000244636E-5,5.886500000522415E-9,5.886500000522415E-9,264.1,16.5,37.8229991,-122.456402,"13:57:39",1.0,1.730000000321752E-5,-2.159999999662432E-5,7.658499999654968E-10,7.658499999654968E-10,0.011451065505009246
